SampleID,Group,Treatment,Vaccine,Challenge,PigID,Study_Day,Days_post_vaccination,Days_post_challenge,Sample_Type
1971_D10_F,1,MVMC,Mock,Mock,1971,D10,37,10,Fecal
1972_D10_F,2,MVC,Mock,I4512i,1972,D10,37,10,Fecal
1973_D10_F,3,EVC,Enterisol,I4512i,1973,D10,37,10,Fecal
1975_D10_F,2,MVC,Mock,I4512i,1975,D10,37,10,Fecal
1977_D10_F,3,EVC,Enterisol,I4512i,1977,D10,37,10,Fecal
1978_D10_F,2,MVC,Mock,I4512i,1978,D10,37,10,Fecal
1979_D10_F,1,MVMC,Mock,Mock,1979,D10,37,10,Fecal
1980_D10_F,3,EVC,Enterisol,I4512i,1980,D10,37,10,Fecal
1981_D10_F,1,MVMC,Mock,Mock,1981,D10,37,10,Fecal
1984_D10_F,3,EVC,Enterisol,I4512i,1984,D10,37,10,Fecal
1986_D10_F,2,MVC,Mock,I4512i,1986,D10,37,10,Fecal
1988_D10_F,1,MVMC,Mock,Mock,1988,D10,37,10,Fecal
1989_D10_F,2,MVC,Mock,I4512i,1989,D10,37,10,Fecal
1990_D10_F,3,EVC,Enterisol,I4512i,1990,D10,37,10,Fecal
1991_D10_F,1,MVMC,Mock,Mock,1991,D10,37,10,Fecal
1993_D10_F,3,EVC,Enterisol,I4512i,1993,D10,37,10,Fecal
1995_D10_F,2,MVC,Mock,I4512i,1995,D10,37,10,Fecal
2000_D10_F,3,EVC,Enterisol,I4512i,2000,D10,37,10,Fecal
5374_D10_F,1,MVMC,Mock,Mock,5374,D10,37,10,Fecal
5375_D10_F,2,MVC,Mock,I4512i,5375,D10,37,10,Fecal
5377_D10_F,1,MVMC,Mock,Mock,5377,D10,37,10,Fecal
5379_D10_F,3,EVC,Enterisol,I4512i,5379,D10,37,10,Fecal
5381_D10_F,2,MVC,Mock,I4512i,5381,D10,37,10,Fecal
5382_D10_F,3,EVC,Enterisol,I4512i,5382,D10,37,10,Fecal
5393_D10_F,2,MVC,Mock,I4512i,5393,D10,37,10,Fecal
5394_D10_F,3,EVC,Enterisol,I4512i,5394,D10,37,10,Fecal
5396_D10_F,3,EVC,Enterisol,I4512i,5396,D10,37,10,Fecal
5397_D10_F,1,MVMC,Mock,Mock,5397,D10,37,10,Fecal
5400_D10_F,1,MVMC,Mock,Mock,5400,D10,37,10,Fecal
5402_D10_F,2,MVC,Mock,I4512i,5402,D10,37,10,Fecal
5404_D10_F,1,MVMC,Mock,Mock,5404,D10,37,10,Fecal
5406_D10_F,2,MVC,Mock,I4512i,5406,D10,37,10,Fecal
5407_D10_F,3,EVC,Enterisol,I4512i,5407,D10,37,10,Fecal
5408_D10_F,1,MVMC,Mock,Mock,5408,D10,37,10,Fecal
5409_D10_F,2,MVC,Mock,I4512i,5409,D10,37,10,Fecal
5411_D10_F,3,EVC,Enterisol,I4512i,5411,D10,37,10,Fecal
5413_D10_F,1,MVMC,Mock,Mock,5413,D10,37,10,Fecal
5415_D10_F,2,MVC,Mock,I4512i,5415,D10,37,10,Fecal
5416_D10_F,3,EVC,Enterisol,I4512i,5416,D10,37,10,Fecal
5418_D10_F,2,MVC,Mock,I4512i,5418,D10,37,10,Fecal
